Number,Questions,Option a,Option b,Option c,Option d,Correct Answer,Explanation,Level of Difficulty,Source,SUBJECT
1,What is the role of the NMC?,To represent or campaign on behalf of nurses and midwifes,To regulate hospital or other healthcare settings in the UK,To regulate health care assistance,To regulate nurses and midwives in the UK to protect thepublic,d,"The Nursing and Midwifery Council (NMC) is the independent regulator for nurses and midwives in the UK. Its primary role is to protect the public by setting standards of education, practice, and conduct, and ensuring that professionals on its register uphold these standards.",Easy,1000-QUESTIONS-WITH-ANSWERS-edited.pdf,Core Professional Role
2,What is the purpose of The NMC Code?,It outlines specific tasks or clinical procedures,It ascertains in detail a nurse's or midwife's clinical expertise,It is a tool for educating prospective nurses and midwives,"It contains the professional standards that registered nurses, midwives and nursing associates must uphold.",d,"The NMC Code presents the professional standards that all registered nurses, midwives, and nursing associates must uphold. It is structured around four key themes: prioritizing people, practicing effectively, preserving safety, and promoting professionalism and trust.",Easy,1000-QUESTIONS-WITH-ANSWERS-edited.pdf,Professional Standards
3,All are purposes of NMC except:,"NMC's role is to regulate nurses and midwives in England, Wales, Scotland and Northern Ireland.","It sets standards of education, training, conduct and performance so that nurses and midwives can deliver high quality healthcarethroughout their careers.",It makes sure that nurses and midwives keep their skills and knowledge up to date and uphold its professional standards.,It is responsible for regulating hospitals or other healthcare settings.,d,"While the NMC regulates the professionals (nurses and midwives) who work within healthcare settings, it does not regulate the settings themselves. Healthcare settings in England are regulated by the Care Quality Commission (CQC).",Medium,1000-QUESTIONS-WITH-ANSWERS-edited.pdf,Professional Regulation
4,The UK regulator for nursing & midwifery professions within the UK with a stated aim to protect the health & well-being of the public is:,GMC,NMC,BMC,WHC,b,The Nursing and Midwifery Council (NMC) is the specific regulator for the nursing and midwifery professions in the United Kingdom. The General Medical Council (GMC) regulates doctors.,Easy,1000-QUESTIONS-WITH-ANSWERS-edited.pdf,Professional Bodies
5,"Which of the following agency set the standards of education, training and conduct and performance for nurses and midwives in the UK?",NMC,DH,CQC,RCN,a,"The NMC is the statutory body responsible for setting and monitoring the standards for education, training, conduct, and performance for nurses and midwives in the UK.",Easy,1000-QUESTIONS-WITH-ANSWERS-edited.pdf,Professional Standards
6,What do you mean by code of ethics?,Legal activities of a registered nurse,A set of moral principles that govern a person's behavior or the conducting of an activity,A document that outlines the rules of an organization,A guide for personal relationships,b,"A code of ethics provides a framework of moral principles to guide professional practice, ensuring that practitioners act with integrity and in the best interests of those they care for. The NMC Code is a prime example of a code of ethics in nursing.",Easy,1000-QUESTIONS-WITH-ANSWERS-edited.pdf,Professionalism
7,When can a nurse delegate tasks to other people?,When the nurse is too busy to complete the tasks,When the other person is a student nurse,When the nurse is confident that the other person has the necessary skills and knowledge,"Never, a nurse must complete all tasks themselves",c,"Nurses can delegate tasks but remain accountable. Delegation must be safe and in the best interests of the patient. The nurse must be satisfied that the person the task is delegated to has the knowledge, skills, and competence to perform it safely and effectively.",Medium,1000-QUESTIONS-WITH-ANSWERS-edited.pdf,Delegation & Accountability
8,What is the main purpose of revalidation?,To test a nurse's clinical skills,To provide a way for nurses and midwives to demonstrate their continued fitness to practise,To check if a nurse has completed enough training courses,To get a promotion,b,Revalidation is the process that allows nurses and midwives to demonstrate that they practice safely and effectively. It is a process of ongoing professional development and reflection to maintain their registration with the NMC.,Medium,1000-QUESTIONS-WITH-ANSWERS-edited.pdf,Professional Development
9,Which of the following is NOT one of the four themes of the NMC Code?,Prioritise people,Practise effectively,Preserve safety,Promote leadership,d,"The four themes of the NMC Code are: Prioritise people, Practise effectively, Preserve safety, and Promote professionalism and trust. 'Promote leadership' is not one of the four core themes.",Easy,1000-QUESTIONS-WITH-ANSWERS-edited.pdf,Professional Standards
10,What should a nurse do if they have a conscientious objection to a particular procedure?,Refuse to care for the patient,Inform their employer and colleagues and ensure that patient care is not compromised,Perform the procedure anyway,Ask the patient to request another nurse,b,"Nurses have the right to a conscientious objection, but they must inform their employer and ensure that a patient's care is not compromised and that they are not left without the care they need. The nurse's primary duty is to the patient.",Hard,1000-QUESTIONS-WITH-ANSWERS-edited.pdf,Ethics & Professionalism
